X axis;1VSC_Measurement_Control/idref;1VSC_Measurement_Control/iqref;1VSC_Measurement_Control/ppcc;1VSC_Measurement_Control/qpcc;p3/va_t;p5/va_t;
Time (s);;;;;;;

749.55E-3;898.27871426E-3;-113.85072464E-3;929.56082358E-3;98.114701837E-3;-330.12324403E3;-329.17693438E3;
749.6E-3;898.23045059E-3;-113.80482431E-3;929.4938529E-3;98.110400617E-3;-329.50181509E3;-329.27568755E3;
749.65E-3;898.1822204E-3;-113.75892242E-3;929.42690356E-3;98.106026819E-3;-328.79933326E3;-329.29334716E3;
749.7E-3;898.13402368E-3;-113.71301902E-3;929.35997559E-3;98.101580572E-3;-328.01597105E3;-329.22990832E3;
749.75E-3;898.08586042E-3;-113.66711419E-3;929.29306902E-3;98.097062007E-3;-327.15192087E3;-329.08538612E3;
749.8E-3;898.0377306E-3;-113.621208E-3;929.22618388E-3;98.092471255E-3;-326.207395E3;-328.85981563E3;
749.85E-3;897.98963423E-3;-113.5753005E-3;929.1593202E-3;98.087808445E-3;-325.18262551E3;-328.55325188E3;
749.9E-3;897.94157128E-3;-113.52939178E-3;929.09247802E-3;98.083073709E-3;-324.07786423E3;-328.16576986E3;
749.95E-3;897.89354174E-3;-113.48348189E-3;929.02565737E-3;98.078267176E-3;-322.89338265E3;-327.69746447E3;
750E-3;897.84554561E-3;-113.43757091E-3;928.95885828E-3;98.073388979E-3;-321.62947193E3;-327.14845056E3;
750.05E-3;897.79758288E-3;-113.3916589E-3;928.89208078E-3;98.068439248E-3;-320.28644272E3;-326.51886284E3;
750.1E-3;897.74965353E-3;-113.34574592E-3;928.82532491E-3;98.063418114E-3;-318.86462519E3;-325.80885588E3;
750.15E-3;897.70175755E-3;-113.29983205E-3;928.75859069E-3;98.058325709E-3;-317.36436889E3;-325.01860405E3;
750.2E-3;897.65389493E-3;-113.25391736E-3;928.69187816E-3;98.053162164E-3;-315.78604264E3;-324.14830151E3;
750.25E-3;897.60606567E-3;-113.20800189E-3;928.62518735E-3;98.047927611E-3;-314.13003452E3;-323.19816211E3;
750.3E-3;897.55826974E-3;-113.16208574E-3;928.55851829E-3;98.042622181E-3;-312.39675172E3;-322.16841941E3;
750.35E-3;897.51050714E-3;-113.11616895E-3;928.49187101E-3;98.037246006E-3;-310.58662041E3;-321.05932655E3;
750.4E-3;897.46277786E-3;-113.0702516E-3;928.42524554E-3;98.031799218E-3;-308.70008574E3;-319.87115624E3;
750.45E-3;897.41508189E-3;-113.02433375E-3;928.35864193E-3;98.026281948E-3;-306.7376116E3;-318.60420065E3;
750.5E-3;897.36741922E-3;-112.97841547E-3;928.29206019E-3;98.02069433E-3;-304.6996806E3;-317.2587714E3;
750.55E-3;897.31978983E-3;-112.93249683E-3;928.22550035E-3;98.015036495E-3;-302.58679394E3;-315.83519939E3;
750.6E-3;897.27219371E-3;-112.88657788E-3;928.15896246E-3;98.009308576E-3;-300.39947124E3;-314.33383483E3;
750.65E-3;897.22463086E-3;-112.8406587E-3;928.09244655E-3;98.003510704E-3;-298.13825044E3;-312.75504705E3;
750.7E-3;897.17710126E-3;-112.79473936E-3;928.02595263E-3;97.997643013E-3;-295.8036877E3;-311.09922449E3;
750.75E-3;897.1296049E-3;-112.7488199E-3;927.95948075E-3;97.991705636E-3;-293.39635719E3;-309.36677454E3;
750.8E-3;897.08214177E-3;-112.70290041E-3;927.89303094E-3;97.985698704E-3;-290.91685101E3;-307.5581235E3;
750.85E-3;897.03471186E-3;-112.65698095E-3;927.82660322E-3;97.97962235E-3;-288.36577904E3;-305.67371642E3;
750.9E-3;896.98731516E-3;-112.61106158E-3;927.76019763E-3;97.973476708E-3;-285.74376875E3;-303.71401703E3;
750.95E-3;896.93995166E-3;-112.56514236E-3;927.69381421E-3;97.96726191E-3;-283.05146509E3;-301.67950762E3;
751E-3;896.89262134E-3;-112.51922336E-3;927.62745297E-3;97.96097809E-3;-280.28953029E3;-299.57068888E3;
751.05E-3;896.8453242E-3;-112.47330465E-3;927.56111396E-3;97.954625381E-3;-277.45864373E3;-297.38807985E3;
751.1E-3;896.79806022E-3;-112.42738629E-3;927.4947972E-3;97.948203915E-3;-274.55950177E3;-295.13221772E3;
751.15E-3;896.7508294E-3;-112.38146835E-3;927.42850273E-3;97.941713826E-3;-271.59281756E3;-292.80365774E3;
751.2E-3;896.70363172E-3;-112.33555088E-3;927.36223058E-3;97.935155247E-3;-268.55932088E3;-290.40297309E3;
751.25E-3;896.65646716E-3;-112.28963396E-3;927.29598077E-3;97.928528312E-3;-265.45975795E3;-287.93075469E3;
751.3E-3;896.60933573E-3;-112.24371764E-3;927.22975334E-3;97.921833155E-3;-262.29489126E3;-285.38761111E3;
751.35E-3;896.5622374E-3;-112.19780199E-3;927.16354831E-3;97.915069908E-3;-259.06549936E3;-282.77416838E3;
751.4E-3;896.51517217E-3;-112.15188708E-3;927.09736573E-3;97.908238706E-3;-255.77237669E3;-280.09106988E3;
751.45E-3;896.46814003E-3;-112.10597297E-3;927.03120562E-3;97.901339682E-3;-252.41633338E3;-277.33897612E3;
751.5E-3;896.42114096E-3;-112.06005971E-3;926.96506802E-3;97.894372969E-3;-248.99819505E3;-274.51856463E3;
751.55E-3;896.37417496E-3;-112.01414739E-3;926.89895294E-3;97.887338703E-3;-245.5188026E3;-271.63052977E3;
751.6E-3;896.32724201E-3;-111.96823605E-3;926.83286043E-3;97.880237015E-3;-241.979012E3;-268.67558256E3;
751.65E-3;896.28034209E-3;-111.92232576E-3;926.76679051E-3;97.873068041E-3;-238.3796941E3;-265.65445053E3;
751.7E-3;896.23347521E-3;-111.87641659E-3;926.70074322E-3;97.865831914E-3;-234.7217344E3;-262.56787748E3;
751.75E-3;896.18664134E-3;-111.83050859E-3;926.63471859E-3;97.858528769E-3;-231.00603283E3;-259.41662337E3;
751.8E-3;896.13984048E-3;-111.78460183E-3;926.56871664E-3;97.851158739E-3;-227.23350352E3;-256.20146408E3;
751.85E-3;896.09307262E-3;-111.73869638E-3;926.50273741E-3;97.843721958E-3;-223.40507463E3;-252.92319125E3;
751.9E-3;896.04633774E-3;-111.69279229E-3;926.43678092E-3;97.836218561E-3;-219.52168803E3;-249.58261207E3;
751.95E-3;895.99963583E-3;-111.64688963E-3;926.37084722E-3;97.828648682E-3;-215.58429915E3;-246.18054907E3;
752E-3;895.95296689E-3;-111.60098846E-3;926.30493632E-3;97.821012454E-3;-211.59387671E3;-242.71783995E3;
752.05E-3;895.90633089E-3;-111.55508884E-3;926.23904826E-3;97.813310013E-3;-207.55140248E3;-239.19533735E3;
752.1E-3;895.85972783E-3;-111.50919084E-3;926.17318307E-3;97.805541492E-3;-203.45787103E3;-235.61390864E3;
752.15E-3;895.8131577E-3;-111.46329451E-3;926.10734078E-3;97.797707026E-3;-199.31428951E3;-231.97443572E3;
752.2E-3;895.76662049E-3;-111.41739992E-3;926.04152142E-3;97.789806749E-3;-195.1216774E3;-228.27781477E3;
752.25E-3;895.72011618E-3;-111.37150713E-3;925.97572502E-3;97.781840796E-3;-190.88106624E3;-224.5249561E3;
752.3E-3;895.67364476E-3;-111.32561621E-3;925.90995161E-3;97.7738093E-3;-186.59349937E3;-220.71678383E3;
752.35E-3;895.62720622E-3;-111.2797272E-3;925.84420122E-3;97.765712397E-3;-182.26003173E3;-216.85423575E3;
752.4E-3;895.58080055E-3;-111.23384018E-3;925.77847388E-3;97.757550221E-3;-177.88172951E3;-212.93826302E3;
